Wavenumber,RedSpruce_Abs,RedSpruce_Abs,RedSpruce_Abs,Lodgepole_Abs,Lodgepole_Abs,Lodgepole_Abs,GreenSpruce_Abs,GreenSpruce_Abs,GreenSpruce_Abs
880.3452,0.180819823,0.180955517,0.196817274,0.143868654,0.150561285,0.149995775,0.217454571,0.209045347,0.187612088
881.3094,0.18914597,0.189258648,0.205868794,0.153091651,0.160203584,0.159689911,0.22567211,0.217489154,0.194964923
882.2736,0.197883986,0.19800338,0.215396819,0.16293523,0.170459141,0.169932474,0.234119713,0.226111106,0.202579902
883.2379,0.206838902,0.206994285,0.225144815,0.173281899,0.181215678,0.180620297,0.242688985,0.234766114,0.210326304
884.2021,0.215757901,0.215986782,0.234811235,0.183940764,0.192290139,0.191572673,0.25119507,0.24327115,0.21801169
885.1663,0.224394018,0.224737029,0.244105902,0.194689114,0.203461971,0.202585716,0.259450015,0.251442,0.225445986
886.1306,0.232562495,0.233053631,0.252833505,0.205346827,0.214548835,0.21348244,0.267308558,0.259146614,0.232482759
887.0948,0.240153692,0.24083322,0.260895458,0.21579065,0.225416507,0.224138623,0.274690625,0.266321199,0.239048276
888.059,0.247163067,0.248037716,0.268310997,0.225975739,0.235995165,0.23451177,0.281602301,0.272984613,0.245140997
889.0233,0.253609825,0.2546714,0.275117279,0.235879799,0.246248958,0.244579112,0.288076839,0.279183657,0.250787314
889.9875,0.259498296,0.260739841,0.28133816,0.245487302,0.256132827,0.254319836,0.294154471,0.284957005,0.256011251
890.9517,0.264778826,0.266206972,0.286927242,0.25471833,0.265564212,0.26366186,0.29983158,0.290297431,0.260793811
891.916,0.269342401,0.270996385,0.291776906,0.263465413,0.274435082,0.272497535,0.305073503,0.295162312,0.265089813
892.8802,0.273069883,0.275036991,0.295763197,0.271605297,0.282623947,0.280704732,0.309833157,0.299502758,0.268849961
893.8444,0.275890248,0.278288691,0.298810485,0.279058067,0.290065234,0.28820509,0.31408558,0.303292915,0.272062244
894.8087,0.277794207,0.280775938,0.300922837,0.285808943,0.296757059,0.294985405,0.317865962,0.306573993,0.274772253
895.7729,0.278869195,0.282558768,0.302185054,0.291905026,0.302758389,0.301109744,0.321235883,0.309429382,0.277072095
896.7371,0.279253135,0.283752414,0.302744876,0.297454288,0.308186228,0.306696703,0.324298447,0.311991581,0.279085921
897.7014,0.279102946,0.284449916,0.302751422,0.30255719,0.313155458,0.311872352,0.327147055,0.314372599,0.280923914
898.6656,0.278541679,0.284727449,0.302320103,0.307308429,0.317752644,0.316742299,0.329849109,0.31666514,0.282669451
899.6298,0.277678763,0.284651831,0.301536888,0.311778403,0.322045962,0.321387484,0.332463083,0.318936497,0.284382093
900.5941,0.276621255,0.284326186,0.300504843,0.316065065,0.326116324,0.325901998,0.335068794,0.321263281,0.286144092
901.5583,0.275525448,0.283905368,0.299368334,0.320315722,0.330101249,0.330429106,0.33779574,0.323762414,0.288075485
902.5225,0.274581502,0.283605471,0.298325016,0.324746073,0.334206907,0.335163917,0.340814935,0.326585029,0.290347556
903.4868,0.274015192,0.28367083,0.297613908,0.329611897,0.338688296,0.34034906,0.34432068,0.329912064,0.293140317
904.451,0.274030299,0.284318836,0.297457693,0.33515069,0.343810316,0.346227625,0.348471579,0.333895841,0.296622683
905.4152,0.274771871,0.285682872,0.298015694,0.341535561,0.34977489,0.352966028,0.353353269,0.338622284,0.300887381
906.3795,0.27629235,0.287797476,0.299349613,0.34882939,0.356690529,0.360635346,0.358956308,0.344087893,0.305929382
907.3437,0.278584197,0.290623844,0.301446353,0.356991597,0.364550389,0.369206398,0.365204514,0.350236329,0.311681933
908.3079,0.281600132,0.294097665,0.304261445,0.36592974,0.373291019,0.37857273,0.371991427,0.356970939,0.318052719
